POI,Lon,Lat
city_center,2.170037,41.386968
metro,2.167015,41.385919
metro,2.167646,41.386095
metro,2.169598,41.385842
metro,2.169503,41.385707
metro,2.151636,41.399679
metro,2.152429,41.400039
metro,2.152507,41.399554
metro,2.158326,41.392331
metro,2.157649,41.393362
metro,2.157956,41.392909
metro,2.135427,41.397791
metro,2.135114,41.397895
metro,2.135502,41.397638
metro,2.130075,41.398154
metro,2.130828,41.397781
metro,2.143251,41.398645
metro,2.142754,41.398631
metro,2.142852,41.398976
metro,2.11937,41.399203
metro,2.118699,41.398423
metro,2.118998,41.398967
metro,2.147016,41.401372
metro,2.125789,41.398544
metro,2.124523,41.39935
metro,2.125112,41.39896
metro,2.137173,41.410227
metro,2.139248,41.405731
metro,2.139256,41.406043
metro,2.139529,41.405442
metro,2.142617,41.403596
metro,2.143265,41.403133
metro,2.142961,41.40344
metro,2.147573,41.401403
metro,2.086746,41.353011
metro,2.068427,41.351845
metro,2.148628,41.374547
metro,2.125369,41.357005
metro,2.117531,41.35536
metro,2.13168,41.360962
metro,2.130463,41.361391
metro,2.103422,41.357794
metro,2.139358,41.368228
metro,2.034689,41.357711
metro,2.043259,41.348145
metro,2.11168,41.361271
metro,2.180381,41.391664
metro,2.182218,41.393228
metro,2.180061,41.392387
metro,2.102669,41.357404
metro,2.103029,41.358779
metro,2.102666,41.359299
metro,2.200227,41.450043
metro,2.199663,41.449896
metro,2.110686,41.351236
metro,2.110976,41.351991
metro,2.109898,41.351527
metro,2.110588,41.350397
metro,2.111765,41.350916
metro,2.103659,41.368289
metro,2.103234,41.367647
metro,2.103931,41.368184
metro,2.169597,41.388111
metro,2.169492,41.38757
metro,2.168507,41.387706
metro,2.170687,41.387914
metro,2.168588,41.3872
metro,2.169507,41.387625
metro,2.187344,41.408643
metro,2.187148,41.409242
metro,2.187202,41.410828
metro,2.18753,41.411218
metro,2.148309,41.375344
metro,2.149455,41.375546
metro,2.148801,41.37538
metro,2.183562,41.430861
metro,2.183464,41.431138
metro,2.184196,41.428993
metro,2.183628,41.430467
metro,2.183584,41.430093
metro,2.183324,41.430459
metro,2.110681,41.368521
metro,2.110396,41.367873
metro,2.110875,41.368376
metro,2.217787,41.451728
metro,2.217064,41.451761
metro,2.21861,41.451596
metro,2.187098,41.402063
metro,2.18834,41.402984
metro,2.187238,41.402882
metro,2.187513,41.402698
metro,2.106694,41.344339
metro,2.106409,41.34472
metro,2.144523,41.375356
metro,2.143445,41.375552
metro,2.142362,41.375134
metro,2.143991,41.375292
metro,2.187227,41.421981
metro,2.187272,41.423089
metro,2.187198,41.422492
metro,2.186428,41.39558
metro,2.187072,41.395422
metro,2.186842,41.395574
metro,2.13319,41.373293
metro,2.133647,41.372953
metro,2.134546,41.374172
metro,2.134031,41.373543
metro,2.187294,41.416721
metro,2.187229,41.415812
