LOCATIONID,LOCATIONNAME,ZONELEVELID,geometry
0-EU-ES-28-07-001-079-16-002,Conde Orgaz-Piovera,8,-3.63014|-3.62633|-3.626601|-3.626645|-3.626612|-3.626485|-3.626046|-3.625693|-3.622712|-3.620615|-3.62002|-3.619525|-3.619018|-3.618679|-3.617495|-3.619273|-3.62102|-3.621747|-3.623494|-3.623886|-3.625576|-3.630181|-3.630856|-3.634108|-3.637215|-3.637711|-3.638242|-3.638829|-3.639216|-3.639893|-3.641555|-3.641759|-3.642459|-3.643285|-3.644346|-3.64458|-3.647678|-3.648153|-3.650526|-3.651027|-3.651504|-3.652083|-3.653369|-3.65395|-3.654163|-3.653143|-3.651289|-3.648121|-3.646818|-3.645532|-3.644518|-3.640057|-3.638075|-3.636482|-3.633741|-3.632231|-3.63014|40.449394|40.449547|40.451397|40.451635|40.452222|40.452587|40.453118|40.453345|40.454441|40.455208|40.455484|40.455786|40.456159|40.45654|40.458062|40.459105|40.460163|40.460753|40.462785|40.462593|40.462606|40.462643|40.462643|40.462676|40.462693|40.462642|40.462536|40.46233|40.462078|40.461622|40.460531|40.460326|40.459573|40.458625|40.457251|40.457239|40.45712|40.457108|40.457149|40.457161|40.457167|40.457154|40.457073|40.457007|40.45694|40.455779|40.453663|40.449515|40.449737|40.44974|40.449551|40.448801|40.448553|40.448535|40.448951|40.44919|40.449394
0-EU-ES-28-07-001-079-16-004,Pinar del Rey,8,-3.655102|-3.654251|-3.650633|-3.645486|-3.643474|-3.642566|-3.642445|-3.642119|-3.638757|-3.63422|-3.633675|-3.632873|-3.63023|-3.62847|-3.627883|-3.629849|-3.631844|-3.636122|-3.641949|-3.647688|-3.650051|-3.65038|-3.651042|-3.652353|-3.654261|-3.654733|-3.655498|-3.65589|-3.65629|-3.657225|-3.657513|-3.657834|-3.659067|-3.660598|-3.662156|-3.662606|-3.662961|-3.663422|-3.662892|-3.66275|-3.662676|-3.66253|-3.662457|-3.662068|-3.662057|-3.661624|-3.66127|-3.661043|-3.660475|-3.660315|-3.65957|-3.659351|-3.659216|-3.659182|-3.659212|-3.659299|-3.659316|-3.659311|-3.659397|-3.657937|-3.657035|-3.656508|-3.656029|-3.655773|-3.655102|40.466807|40.46691|40.467348|40.468722|40.469246|40.469489|40.469107|40.46906|40.469017|40.468607|40.468665|40.468908|40.468684|40.468368|40.468405|40.470486|40.472279|40.475473|40.479734|40.480786|40.481244|40.480902|40.480261|40.478928|40.476968|40.476242|40.474989|40.47398|40.473216|40.47179|40.471457|40.471201|40.470474|40.469226|40.468001|40.467771|40.467625|40.46752|40.465631|40.465131|40.464864|40.464336|40.464071|40.463401|40.463399|40.4631|40.462831|40.462676|40.46229|40.462182|40.462839|40.463016|40.463231|40.463409|40.463662|40.463931|40.464047|40.464163|40.464405|40.465657|40.466196|40.466415|40.466573|40.466664|40.466807
0-EU-ES-28-07-001-079-21-004,Timón,8,-3.581744|-3.60157|-3.601471|-3.601451|-3.602798|-3.601407|-3.599679|-3.598319|-3.595185|-3.587257|-3.585376|-3.584412|-3.583688|-3.582727|-3.58224|-3.581896|-3.58144|-3.581545|-3.581787|-3.582404|-3.582459|-3.582306|-3.581397|-3.581106|-3.581744|40.479725|40.479857|40.475754|40.473601|40.470341|40.469872|40.469426|40.469258|40.468817|40.468635|40.468578|40.468482|40.46833|40.467938|40.467602|40.468253|40.469219|40.470888|40.47211|40.47487|40.475408|40.476037|40.478544|40.479625|40.479725
0-EU-ES-28-07-001-079-01-001,Palacio,8,-3.72044|-3.72097|-3.721902|-3.722305|-3.722512|-3.722784|-3.719843|-3.716888|-3.718253|-3.718106|-3.716773|-3.714767|-3.713002|-3.711682|-3.71159|-3.711374|-3.711042|-3.710451|-3.709962|-3.709252|-3.70916|-3.708407|-3.708079|-3.70779|-3.707549|-3.707543|-3.70743|-3.7078|-3.708238|-3.708147|-3.708043|-3.70816|-3.708321|-3.708473|-3.708681|-3.708746|-3.708728|-3.708608|-3.708659|-3.708695|-3.708643|-3.708572|-3.708751|-3.708219|-3.708156|-3.707992|-3.707889|-3.708218|-3.70728|-3.706253|-3.70596|-3.710879|-3.712022|-3.712748|-3.713267|-3.714495|-3.715524|-3.71941|-3.72044|40.42028|40.420026|40.417396|40.416358|40.415242|40.414024|40.413943|40.413901|40.411181|40.410826|40.4087|40.407824|40.407127|40.4067|40.406872|40.407306|40.40803|40.408753|40.409347|40.410244|40.410372|40.41129|40.411856|40.412403|40.412721|40.412945|40.41343|40.413549|40.413728|40.414008|40.414479|40.414737|40.415054|40.415285|40.415397|40.415496|40.416137|40.416381|40.41674|40.417005|40.417317|40.417742|40.417852|40.418849|40.419079|40.419686|40.419805|40.420302|40.420236|40.420179|40.42022|40.423387|40.422729|40.42232|40.421854|40.421015|40.420321|40.420238|40.42028
0-EU-ES-28-07-001-079-01-003,Huertas-Cortes,8,-3.696488|-3.699685|-3.699738|-3.699678|-3.699507|-3.699371|-3.699643|-3.699942|-3.70008|-3.700399|-3.700984|-3.701785|-3.703049|-3.703483|-3.702944|-3.70195|-3.701658|-3.701381|-3.700159|-3.696925|-3.695572|-3.693967|-3.692594|-3.692148|-3.692292|-3.693574|-3.694269|-3.693289|-3.693108|-3.693684|-3.695564|-3.696488|40.418813|40.419758|40.419294|40.418941|40.418342|40.417938|40.417743|40.417295|40.417079|40.416598|40.416135|40.415532|40.414581|40.414142|40.413957|40.413616|40.413521|40.41341|40.412919|40.41125|40.410582|40.409881|40.409362|40.409194|40.409646|40.413388|40.415267|40.418808|40.419498|40.419362|40.419006|40.418813
0-EU-ES-28-07-001-079-02-001,Imperial,8,-3.722785|-3.722878|-3.72215|-3.721641|-3.721696|-3.722558|-3.722604|-3.722593|-3.72243|-3.721909|-3.721244|-3.720287|-3.719504|-3.716981|-3.716316|-3.714982|-3.714818|-3.71423|-3.712564|-3.712009|-3.71186|-3.711682|-3.712775|-3.714803|-3.716773|-3.717824|-3.718105|-3.718252|-3.716915|-3.720665|-3.721169|-3.721885|-3.722785|40.414024|40.412854|40.410563|40.409124|40.408294|40.405987|40.40461|40.404369|40.403614|40.401484|40.400649|40.400043|40.39982|40.399932|40.399959|40.399585|40.39993|40.401123|40.404641|40.405885|40.406248|40.4067|40.407051|40.407837|40.408698|40.410381|40.410818|40.411186|40.413895|40.413956|40.413974|40.413998|40.414024
0-EU-ES-28-07-001-079-02-003,Chopera,8,-3.698968|-3.699255|-3.69934|-3.699564|-3.700269|-3.700872|-3.700996|-3.701788|-3.703205|-3.704704|-3.70321|-3.702093|-3.699357|-3.698094|-3.695238|-3.695079|-3.694975|-3.694704|-3.694946|-3.695154|-3.695798|-3.696281|-3.698968|40.400351|40.400949|40.400922|40.400683|40.399926|40.399273|40.399138|40.398262|40.39668|40.395004|40.394424|40.39348|40.390477|40.389132|40.390993|40.391188|40.39196|40.394206|40.394567|40.394855|40.395771|40.396495|40.400351
0-EU-ES-28-07-001-079-02-006,Palos de Moguer,8,-3.68553|-3.685882|-3.685031|-3.683842|-3.682082|-3.683919|-3.684777|-3.683445|-3.687407|-3.688837|-3.692073|-3.692378|-3.693462|-3.69399|-3.69915|-3.700521|-3.701073|-3.702576|-3.702483|-3.702293|-3.702006|-3.701684|-3.700916|-3.700627|-3.699592|-3.699543|-3.699462|-3.699427|-3.69934|-3.699256|-3.698522|-3.693981|-3.693037|-3.692001|-3.688386|-3.686798|-3.686162|-3.685714|-3.68553|40.400381|40.400678|40.401255|40.400676|40.401874|40.402739|40.40299|40.40511|40.406183|40.406774|40.408994|40.408258|40.407544|40.407352|40.40594|40.405564|40.405416|40.405009|40.404928|40.404683|40.404314|40.403906|40.40292|40.402552|40.401272|40.401206|40.401097|40.40105|40.400922|40.400949|40.40098|40.40076|40.400817|40.400752|40.400571|40.400478|40.400433|40.400345|40.400381
0-EU-ES-28-07-001-079-03-002,Adelfas,8,-3.676743|-3.675737|-3.674834|-3.674097|-3.673547|-3.673459|-3.672476|-3.671622|-3.669248|-3.668389|-3.668146|-3.667738|-3.666924|-3.666098|-3.665372|-3.67011|-3.670233|-3.670397|-3.671073|-3.673389|-3.676743|40.399128|40.398222|40.39715|40.395973|40.394805|40.394455|40.395066|40.395597|40.398382|40.399556|40.399976|40.400818|40.402713|40.404745|40.406257|40.406617|40.406628|40.406233|40.405493|40.402849|40.399128
0-EU-ES-28-07-001-079-04-002,Goya,8,-3.668801|-3.668726|-3.668694|-3.668662|-3.668564|-3.668565|-3.668798|-3.669027|-3.675137|-3.676913|-3.678312|-3.679863|-3.680091|-3.680326|-3.680326|-3.680038|-3.679503|-3.677285|-3.668936|-3.668801|40.423893|40.424817|40.425837|40.426217|40.427622|40.428072|40.428207|40.428364|40.428693|40.42877|40.428836|40.428905|40.425919|40.423037|40.422575|40.421669|40.42173|40.421635|40.421185|40.423893
0-EU-ES-28-07-001-079-04-005,Lista,8,-3.676319|-3.677072|-3.677504|-3.677693|-3.678578|-3.679131|-3.67967|-3.67973|-3.679774|-3.679807|-3.679865|-3.679065|-3.678256|-3.676905|-3.669033|-3.669296|-3.670111|-3.670329|-3.67334|-3.676319|40.436308|40.437036|40.437458|40.437421|40.437455|40.43749|40.43133|40.430593|40.430129|40.429642|40.428906|40.42887|40.428833|40.428769|40.428368|40.428649|40.429609|40.429865|40.433403|40.436308
