POI,Lon,Lat
city_center,-0.376619,39.469766
metro,0.4026173,39.4510701
metro,-0.3028439,39.6204498
metro,-0.3118829,39.5881886
metro,-0.3183361,39.55568
metro,-0.3206417,39.5432974
metro,-0.3238483,39.5261963
metro,-0.33004,39.5789123
metro,-0.3308699,39.5879683
metro,-0.3326916,39.5703014
metro,-0.3386346,39.4648555
metro,-0.3407042,39.5617469
metro,-0.3431272,39.4677747
metro,-0.3479811,39.5453392
metro,-0.35049,39.4703326
metro,-0.3516207,39.5280117
metro,-0.3523606,39.5008914
metro,-0.353825,39.5372733
metro,-0.3542038,39.512224
metro,-0.3555609,39.4958197
metro,-0.3575395,39.4724072
metro,-0.3587134,39.492086
metro,-0.3618837,39.4781042
metro,-0.362352,39.4848096
metro,-0.3651993,39.4593677
metro,-0.3660177,39.4731081
metro,-0.3694697,39.4640679
metro,-0.3702646,39.4414792
metro,-0.3708376,39.4701853
metro,-0.3771618,39.467519
metro,-0.3792761,39.4635964
metro,-0.3804152,39.4602682
metro,-0.3805434,39.4602779
metro,-0.3810319,39.4586578
metro,-0.3820885,39.4662197
metro,-0.3846304,39.4593788
metro,-0.3851263,39.4704247
metro,-0.3885714,39.5435011
metro,-0.389794,39.5497121
metro,-0.3902759,39.4782542
metro,-0.3903667,39.456528
metro,-0.3925914,39.422329
metro,-0.3941092,39.4835506
metro,-0.3953228,39.4091688
metro,-0.3979341,39.4685471
metro,-0.3982421,39.4546247
metro,-0.399188,39.4000723
metro,-0.399449,39.4909505
metro,-0.4021687,39.4995522
metro,-0.4030543,39.5364901
metro,-0.4052632,39.5665085
metro,-0.4067919,39.5082938
metro,-0.4068717,39.4707625
metro,-0.4073152,39.5292115
metro,-0.4105125,39.4408196
metro,-0.4116669,39.5131257
metro,-0.4119442,39.5025382
metro,-0.4141068,39.5191925
metro,-0.4149384,39.3617545
metro,-0.4181175,39.4739864
metro,-0.4182187,39.4321018
metro,-0.4187199,39.5018496
metro,-0.4227833,39.4754869
metro,-0.4249245,39.4990148
metro,-0.4334105,39.4776777
metro,-0.4352732,39.4958186
metro,-0.437095,39.4332275
metro,-0.4417848,39.480827
metro,-0.4419403,39.4988913
metro,-0.4428387,39.5819969
metro,-0.4504393,39.4853071
metro,-0.455317,39.5059042
metro,-0.457496,39.5907287
metro,-0.4594256,39.4895834
metro,-0.4602511,39.4112747
metro,-0.460926,39.4360982
metro,-0.4637445,39.460971
metro,-0.4640764,39.5111574
metro,-0.4646699,39.3630565
metro,-0.4671275,39.3843789
metro,-0.4671623,39.4926732
metro,-0.4686776,39.3264194
metro,-0.4726324,39.4316826
metro,-0.4737535,39.353152
metro,-0.474374,39.4921903
metro,-0.4847032,39.4989133
metro,-0.487025,39.5269279
metro,-0.4982292,39.5379633
metro,-0.5140523,39.5433341
metro,-0.5159906,39.5170789
metro,-0.5279753,39.5499038
metro,-0.5318048,39.5554391
metro,-0.5342266,39.5304813
metro,-0.5358678,39.5616973
metro,-0.5466326,39.5382647
metro,-0.5594273,39.5433067
metro,-0.5673778,39.4856724
metro,-0.5783058,39.5926935
metro,-0.5842003,39.598988
metro,-0.5907218,39.6225864
street_Blasco,-0.3352287,39.4701833
street_Blasco,-0.3362802,39.4705974
street_Blasco,-0.3375891,39.4710281
street_Blasco,-0.3390911,39.4714587
street_Blasco,-0.3403357,39.4719722
street_Blasco,-0.3419664,39.4723366
street_Blasco,-0.3433397,39.4728832
street_Blasco,-0.3445199,39.4731483
street_Blasco,-0.3459361,39.4735789
street_Blasco,-0.3471807,39.4739267
street_Blasco,-0.3483823,39.4742415
street_Blasco,-0.3495625,39.4745562
street_Blasco,-0.3507856,39.4749702
street_Blasco,-0.3518155,39.4753015
street_Blasco,-0.3528455,39.4755168
street_Blasco,-0.3541544,39.4759972
street_Blasco,-0.3549913,39.4762622
street_Blasco,-0.3560427,39.4764775
street_Blasco,-0.3569868,39.4768087
street_Blasco,-0.3583387,39.47714
street_Blasco,-0.3593901,39.4775044
street_Blasco,-0.3606561,39.4777859
street_Blasco,-0.3613856,39.4780675
street_Blasco,-0.3626302,39.4782331
street_Blasco,-0.3637031,39.4785809
street_Blasco,-0.3648832,39.4788791
street_Blasco,-0.3660205,39.4792931
