LOCATIONID,LOCATIONNAME,ZONELEVELID,geometry
0-EU-ES-46-02-002-250-01-001,La Seu,8,-0.373611|-0.374036|-0.374526|-0.374808|-0.374887|-0.376133|-0.37686|-0.376889|-0.376875|-0.378275|-0.378982|-0.379086|-0.379156|-0.37915|-0.379189|-0.379298|-0.379284|-0.379124|-0.378781|-0.378583|-0.378461|-0.378282|-0.378108|-0.377892|-0.377715|-0.377667|-0.376867|-0.376928|-0.377047|-0.376819|-0.376723|-0.376711|-0.375627|-0.375623|-0.374818|-0.374242|-0.374186|-0.374202|-0.374553|-0.374382|-0.374271|-0.374243|-0.374193|-0.37414|-0.373813|-0.373674|-0.373573|-0.37354|-0.37346|-0.373444|-0.373237|-0.373124|-0.372963|-0.372923|-0.371627|-0.371249|-0.370837|-0.370406|-0.371316|-0.372102|-0.372747|-0.37318|-0.373524|-0.373611|39.480499|39.479979|39.479376|39.479024|39.478972|39.478962|39.477398|39.477318|39.476613|39.476654|39.476573|39.476561|39.476553|39.476221|39.475941|39.475626|39.475601|39.475613|39.475599|39.475637|39.475661|39.47569|39.475654|39.475605|39.475564|39.475367|39.475355|39.475024|39.474381|39.474209|39.473993|39.473906|39.473792|39.473792|39.473641|39.473539|39.473537|39.473913|39.474008|39.474352|39.47446|39.47452|39.474725|39.474846|39.475394|39.475359|39.475491|39.475611|39.475894|39.476311|39.476282|39.476634|39.476823|39.476942|39.476751|39.4771|39.477772|39.478478|39.478898|39.479706|39.479995|39.480239|39.480434|39.480499
0-EU-ES-46-02-002-250-01-006,Sant Francesc,8,-0.379736|-0.37971|-0.380649|-0.381237|-0.382049|-0.382712|-0.38361|-0.383432|-0.383407|-0.382377|-0.381346|-0.380574|-0.379966|-0.378526|-0.376967|-0.375592|-0.374937|-0.374915|-0.374911|-0.374827|-0.374272|-0.373777|-0.372755|-0.371901|-0.371284|-0.370478|-0.369786|-0.369449|-0.368967|-0.368964|-0.369141|-0.369942|-0.370151|-0.370744|-0.370897|-0.371622|-0.371833|-0.372508|-0.373768|-0.374231|-0.374385|-0.374645|-0.375116|-0.375308|-0.375561|-0.375561|-0.37552|-0.375427|-0.375324|-0.375239|-0.374761|-0.374446|-0.374368|-0.374268|-0.374244|-0.374816|-0.375457|-0.375623|-0.375627|-0.376585|-0.377535|-0.377793|-0.378465|-0.378894|-0.379214|-0.379653|-0.379736|39.471991|39.471248|39.47099|39.470865|39.470937|39.470929|39.470635|39.470363|39.470347|39.469589|39.46879|39.468505|39.468273|39.46791|39.467553|39.467206|39.46716|39.467158|39.467149|39.467145|39.467535|39.467885|39.468619|39.469228|39.469706|39.470334|39.470877|39.471252|39.471789|39.471838|39.471999|39.472276|39.47269|39.472831|39.472243|39.472349|39.471474|39.471505|39.471859|39.471902|39.471943|39.471855|39.471508|39.471363|39.472101|39.472276|39.472583|39.472721|39.472869|39.473006|39.472853|39.472742|39.472928|39.473154|39.473539|39.47364|39.47376|39.473792|39.473792|39.472535|39.471297|39.470961|39.471418|39.471618|39.471869|39.471983|39.471991
0-EU-ES-46-02-002-250-06-003,Jaume Roig,8,-0.36636|-0.365925|-0.365156|-0.364471|-0.363001|-0.361244|-0.360717|-0.360062|-0.359897|-0.359504|-0.360379|-0.36115|-0.362818|-0.362333|-0.362749|-0.363584|-0.363628|-0.363735|-0.36405|-0.364417|-0.364614|-0.36523|-0.365616|-0.36636|39.479413|39.479288|39.479065|39.480413|39.479971|39.479443|39.480539|39.481|39.481118|39.481405|39.48204|39.482589|39.483774|39.484807|39.484913|39.48513|39.485056|39.484839|39.484205|39.483479|39.483086|39.481757|39.480952|39.479413
0-EU-ES-46-02-002-250-03-002,La Roqueta,8,-0.384185|-0.384038|-0.383303|-0.382562|-0.381836|-0.381189|-0.380579|-0.380121|-0.379607|-0.378445|-0.378017|-0.377164|-0.376959|-0.378496|-0.379968|-0.380558|-0.381346|-0.382061|-0.382357|-0.382632|-0.383407|-0.383419|-0.383579|-0.383822|-0.384017|-0.38407|-0.38415|-0.384185|39.469266|39.469052|39.467998|39.466936|39.465888|39.464956|39.463995|39.463483|39.463257|39.463166|39.464538|39.466951|39.467551|39.467903|39.468274|39.468499|39.46879|39.469345|39.469574|39.469778|39.470347|39.470332|39.470127|39.469775|39.46949|39.469413|39.469311|39.469266
0-EU-ES-46-02-002-250-04-002,Les Tendetes,8,-0.382675|-0.381978|-0.382084|-0.383137|-0.383738|-0.385177|-0.385636|-0.386359|-0.387037|-0.387213|-0.387982|-0.388179|-0.388244|-0.38824|-0.388867|-0.38799|-0.388605|-0.388813|-0.387349|-0.386777|-0.386448|-0.385526|-0.384404|-0.383963|-0.383771|-0.382675|39.482305|39.482597|39.482911|39.48365|39.484063|39.48505|39.485372|39.485915|39.486454|39.486372|39.486061|39.486029|39.485621|39.485376|39.485107|39.483886|39.483609|39.483389|39.481324|39.480521|39.480667|39.481074|39.481569|39.481765|39.481847|39.482305
0-EU-ES-46-02-002-250-05-001,Marxalenes,8,-0.380438|-0.378967|-0.378803|-0.378627|-0.378522|-0.378089|-0.378226|-0.378774|-0.378966|-0.37943|-0.380897|-0.381563|-0.383477|-0.383744|-0.383958|-0.385538|-0.385739|-0.385916|-0.386175|-0.387067|-0.388704|-0.38945|-0.389523|-0.388157|-0.388006|-0.387037|-0.386321|-0.385654|-0.385271|-0.384508|-0.383208|-0.382084|-0.381978|-0.380438|39.482997|39.482899|39.484218|39.485279|39.485595|39.486309|39.486335|39.486375|39.486446|39.487685|39.487404|39.487276|39.488197|39.488324|39.48842|39.489135|39.489207|39.489276|39.489376|39.489179|39.488809|39.48864|39.488626|39.487347|39.487227|39.486454|39.485887|39.485385|39.485115|39.484591|39.483699|39.482911|39.482597|39.482997
0-EU-ES-46-02-002-250-07-001,Nou Moles,8,-0.396267|-0.396878|-0.397349|-0.39795|-0.399436|-0.403244|-0.405241|-0.405909|-0.405602|-0.405467|-0.405243|-0.405339|-0.405687|-0.405034|-0.402685|-0.399788|-0.398127|-0.396003|-0.395493|-0.394388|-0.393449|-0.392588|-0.390068|-0.390765|-0.391546|-0.392531|-0.393343|-0.395128|-0.395769|-0.396267|39.475621|39.476473|39.476249|39.476042|39.475721|39.475107|39.474743|39.474387|39.473125|39.472167|39.47109|39.470468|39.469787|39.469652|39.469317|39.468774|39.468468|39.468071|39.467955|39.467759|39.467594|39.467444|39.467029|39.46797|39.469048|39.470411|39.471541|39.474027|39.474939|39.475621
0-EU-ES-46-02-002-250-02-001,Russafa,8,-0.376959|-0.377793|-0.378445|-0.378922|-0.379359|-0.380044|-0.380608|-0.380673|-0.380843|-0.380881|-0.379608|-0.377679|-0.375794|-0.375436|-0.374239|-0.37037|-0.369157|-0.367094|-0.366322|-0.36445|-0.363226|-0.362531|-0.36503|-0.368364|-0.370965|-0.373091|-0.373916|-0.374223|-0.374915|-0.375591|-0.376421|-0.376959|39.467551|39.46515|39.463166|39.461747|39.460439|39.458488|39.456834|39.456588|39.455782|39.455342|39.455328|39.456112|39.456904|39.457065|39.457584|39.459241|39.459749|39.460627|39.460956|39.461748|39.462257|39.462544|39.463077|39.463808|39.464393|39.464851|39.46507|39.465687|39.467158|39.467206|39.467416|39.467551
0-EU-ES-46-02-002-250-11-002,El Cabanyal-El Canyamelar,8,-0.33049|-0.3296|-0.329269|-0.328516|-0.328251|-0.327923|-0.326976|-0.326054|-0.325447|-0.323675|-0.321822|-0.319519|-0.319672|-0.320264|-0.321145|-0.321669|-0.321953|-0.322139|-0.32256|-0.323699|-0.325411|-0.326046|-0.327595|-0.329034|-0.330457|-0.331428|-0.333398|-0.333456|-0.33354|-0.333805|-0.3341|-0.334426|-0.33475|-0.334876|-0.334954|-0.335019|-0.335092|-0.33518|-0.335234|-0.335384|-0.335509|-0.335767|-0.335936|-0.336385|-0.336641|-0.336452|-0.335799|-0.335258|-0.334291|-0.333724|-0.333437|-0.333104|-0.332516|-0.331678|-0.331088|-0.33049|39.462885|39.46279|39.46285|39.462989|39.463037|39.463082|39.46316|39.463159|39.463158|39.463085|39.463021|39.462982|39.463727|39.465244|39.467781|39.46948|39.470818|39.471968|39.474662|39.474615|39.474527|39.474603|39.474721|39.475093|39.475534|39.475821|39.476367|39.476076|39.475642|39.474315|39.4728|39.471139|39.469592|39.468501|39.468054|39.467675|39.467228|39.466916|39.466676|39.465969|39.465647|39.465064|39.464685|39.463992|39.463677|39.463616|39.463499|39.463416|39.463293|39.463218|39.463189|39.463155|39.463062|39.462965|39.462908|39.462885
0-EU-ES-46-02-002-250-07-005,La Llum,8,-0.415437|-0.414988|-0.414013|-0.412544|-0.411541|-0.411969|-0.40999|-0.410093|-0.410504|-0.413371|-0.414054|-0.414494|-0.415397|-0.41726|-0.418045|-0.417625|-0.415437|39.46767|39.466943|39.466649|39.466748|39.466533|39.46591|39.466046|39.467132|39.469722|39.469522|39.469472|39.469432|39.46935|39.469181|39.469123|39.468612|39.46767
